Letter,Tot. SSE,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,"['A', 'H']","['B', 'K', 'P', 'R']","['C', 'D', 'G', 'O', 'Q']","['E', 'F', 'L']","['I', 'J', 'T']","['M', 'N']","['U', 'V', 'Y']","['W', 'X']","['S', 'Z']",,,,,,,,,,,,,,,,,
'T',0.00981294,0.91556194,0.586881555,0.109617759,0.996216493,0.970249953,0.397211699,0.087399811,0.812575156,0.002839501,0.334502881,0.003049681,6.94E-08,0.000132823,2.91E-05,0.00121306,0.001035828,2.07E-05,7.09E-05,0.078516824,0.001508606,0.00145875,0.038932882,0.007728184,0.000748615,5.12E-06,9.69E-07,0.000153221,6.69E-07,0.001248105,0.955683485,0.003058072,0.007488414,0.00035064,0.000392257,0.004928955,0.000432127
'T',0.002745657,0.64653016,0.763401172,0.982149033,0.994837968,0.936120007,0.190619799,0.007387139,0.94561166,0.002978573,0.734894748,2.48E-06,6.04E-07,1.96E-06,0.013747376,0.008404578,0.002379559,8.45E-07,6.00E-06,0.003945058,0.005463421,0.002086588,0.000176744,0.002293258,0.000661616,1.35E-06,1.81E-07,1.16E-05,3.57E-06,0.001622256,0.951565991,0.000302761,7.03E-05,0.006368359,0.00580472,0.000460746,0.001351987
'U',0.002533402,0.999082262,0.999216696,0.010265937,0.746799024,0.00093295,0.026692995,0.993800904,0.002323181,0.09463309,0.972378449,0.000770202,0.00074256,2.13E-06,0.004901323,2.76E-06,2.61E-08,0.00154518,6.79E-05,0.026330533,0.00017879,0.000403241,0.00133175,7.75E-06,0.00108204,0.022476033,1.73E-07,7.20E-05,8.60E-07,9.79E-05,0.009729754,0.984610724,0.000970745,0.005729641,0.000390213,0.030592801,0.001696596
'U',0.00489633,0.963982104,0.999426004,0.456317734,0.876630693,0.000731888,0.042642899,0.964605367,0.002736498,0.036601512,0.991967763,8.51E-05,0.001605123,2.92E-07,0.035720102,5.97E-06,6.78E-08,0.000680105,6.27E-05,0.010927603,0.000786906,0.001171486,7.50E-05,2.02E-06,0.000295847,0.00635816,2.39E-07,1.70E-05,1.28E-06,7.01E-05,0.017500989,0.949369801,0.000189392,0.022661387,0.001341616,0.008350048,0.000791626
'U',0.004598256,0.999449173,0.943479777,7.39E-05,0.104887918,0.068792209,0.000332824,0.992921459,0.002332805,0.058910418,0.648941045,0.002180744,0.021461345,1.71E-05,0.000266982,4.69E-05,1.95E-07,0.001206205,0.000954378,0.002903764,3.34E-05,0.000102577,0.016496505,3.03E-06,0.001801866,0.024747471,3.13E-06,0.000489838,1.32E-05,0.001376798,0.001582895,0.961129198,0.019658375,0.035221621,6.38E-05,0.008851055,0.00364276
'V',0.002163263,0.998455241,0.997408796,0.077267819,0.016352489,0.99459542,0.973064017,0.345988283,0.006693587,0.07909427,0.061249547,0.009467777,0.000628776,5.16E-06,8.13E-08,2.66E-05,0.000390986,7.90E-05,0.006545798,0.001302803,0.00067736,7.38E-05,0.029003492,1.65E-05,1.42E-05,1.85E-06,0.002758741,0.003338503,4.70E-06,0.002766903,0.005622044,0.007580491,0.970477888,0.000818126,1.29E-06,0.011935715,0.007529125
'V',0.001851992,0.997672114,0.998039561,0.00766673,0.00050548,0.979210943,0.999837709,0.611974224,0.005536954,0.071736943,0.018130854,0.014400186,0.001069539,1.01E-05,6.31E-08,1.00E-05,0.00012734,0.000163272,0.004464394,0.001377081,0.000422707,2.87E-05,0.016464977,4.30E-06,1.92E-05,2.97E-06,0.006057146,0.006441493,3.88E-06,0.003754852,0.00159295,0.013690576,0.967690141,0.000574777,2.28E-07,0.004326779,0.002260201
'V',0.00249822,0.956805144,0.997352553,0.005260485,0.002997527,0.916373472,0.999920044,0.464982751,0.046518246,0.030108284,0.185232904,0.005519529,0.000573281,4.55E-06,1.69E-07,1.00E-05,0.000189369,0.000110591,0.003874559,0.001467806,0.000703988,2.53E-05,0.015847725,1.61E-05,4.07E-05,4.07E-06,0.00277067,0.009417704,1.87E-06,0.002194367,0.003659946,0.015831665,0.959857033,0.000906725,9.40E-07,0.014170951,0.004499472
'W',0.002007149,0.994448416,0.112385199,0.981617772,0.007269922,0.500345231,0.000831423,0.948276226,0.004160593,0.003660338,0.999624192,0.001784718,0.000878783,1.42E-06,0.002252593,0.00614301,4.82E-06,4.52E-05,0.003321771,0.000164967,0.000222899,6.34E-06,6.20E-06,2.98E-06,0.003536779,0.013052188,6.49E-05,7.15E-06,0.001130662,1.28E-05,0.000503141,0.014105699,0.00016557,0.967234078,0.022183891,2.54E-05,0.000365712
'W',0.001907652,0.997220887,0.091702745,0.975763303,0.008228211,0.614116725,0.00044884,0.923305838,0.000389793,0.010414608,0.993627563,0.002716675,0.000456429,1.55E-06,0.001290849,0.007411961,5.74E-06,2.94E-05,0.002404074,0.000206394,0.000210412,4.91E-06,6.34E-06,3.78E-06,0.003866246,0.008359035,7.19E-05,4.63E-06,0.001654835,1.39E-05,0.000536375,0.008139158,0.000192298,0.963565014,0.018860472,1.78E-05,0.000480325
'W',0.002007149,0.994448416,0.112385199,0.981617772,0.007269922,0.500345231,0.000831423,0.948276226,0.004160593,0.003660338,0.999624192,0.001784718,0.000878783,1.42E-06,0.002252593,0.00614301,4.82E-06,4.52E-05,0.003321771,0.000164967,0.000222899,6.34E-06,6.20E-06,2.98E-06,0.003536779,0.013052188,6.49E-05,7.15E-06,0.001130662,1.28E-05,0.000503141,0.014105699,0.00016557,0.967234078,0.022183891,2.54E-05,0.000365712
'X',0.003436938,0.911239687,0.022769745,0.900191274,0.810477819,0.31153577,0.064023057,0.001709225,0.003870018,0.944264534,0.999093979,0.007043112,4.40E-06,7.16E-06,0.017370381,0.008667142,4.52E-05,0.000235225,0.014333829,0.000211371,0.000361439,0.021875676,0.000139259,0.010914185,9.41E-06,0.009274044,3.99E-07,2.25E-07,0.001249314,4.05E-08,0.003718203,0.000139141,5.46E-06,0.014974661,0.959646413,0.011934836,0.010516758
'X',0.003436938,0.911239687,0.022769745,0.900191274,0.810477819,0.31153577,0.064023057,0.001709225,0.003870018,0.944264534,0.999093979,0.007043112,4.40E-06,7.16E-06,0.017370381,0.008667142,4.52E-05,0.000235225,0.014333829,0.000211371,0.000361439,0.021875676,0.000139259,0.010914185,9.41E-06,0.009274044,3.99E-07,2.25E-07,0.001249314,4.05E-08,0.003718203,0.000139141,5.46E-06,0.014974661,0.959646413,0.011934836,0.010516758
'X',0.003471109,0.9095438,0.023180021,0.897915814,0.808359223,0.313846815,0.064777244,0.001653104,0.003950617,0.945529041,0.999100051,0.007088719,4.38E-06,7.26E-06,0.017103099,0.008610384,4.53E-05,0.000234652,0.014190582,0.000211547,0.000358455,0.021508953,0.000140574,0.011067809,9.51E-06,0.009246415,4.04E-07,2.28E-07,0.00126264,4.09E-08,0.003651695,0.000137246,5.54E-06,0.014727246,0.958852415,0.011933077,0.010704769
'Y',0.0023758,0.96936345,0.987820042,0.001193044,0.98974587,0.034429246,0.906627676,0.002364721,0.016185931,0.967832437,0.996126146,0.000645205,7.37E-06,5.14E-07,0.000648906,3.69E-07,3.93E-06,0.001530528,0.003466085,0.000490166,0.000582378,0.011967881,0.005775449,0.008945373,6.32E-07,0.00033284,2.74E-07,0.000329471,4.43E-08,6.67E-08,0.003976836,0.018143951,0.004960728,2.99E-06,0.015439457,0.964247023,0.014728278
'Y',0.001677257,0.978747,0.967746587,0.000961355,0.97443332,0.019951051,0.98605884,0.002585417,0.004968388,0.980836726,0.999070208,0.000679324,7.16E-06,4.30E-07,0.000529195,2.67E-07,4.65E-06,0.001800795,0.005258218,0.000360685,0.000672604,0.00980844,0.004614773,0.008833835,4.74E-07,0.000303668,4.44E-07,0.000501972,3.15E-08,4.08E-08,0.002930537,0.013893471,0.00640291,2.71E-06,0.015206706,0.97081556,0.01111617
'Y',0.002118863,0.835977396,0.980872408,0.000195257,0.99698937,0.05679013,0.977908191,0.005454729,0.004601623,0.906347264,0.994241307,0.000390241,8.60E-06,5.28E-07,0.001073214,2.07E-07,7.61E-06,0.002368353,0.002531205,0.000905588,0.001595372,0.010261546,0.00259923,0.011891184,1.04E-06,0.000319275,8.60E-07,0.000754431,4.66E-08,1.22E-07,0.00360249,0.014684868,0.006840882,2.86E-06,0.011268976,0.966553871,0.018083043
'Z',0.002290741,0.255021805,0.915413843,0.558848947,0.29937673,0.931478772,0.010703909,0.001061157,0.023965035,0.982226733,0.99587333,0.000102004,9.38E-05,1.06E-05,0.004272133,0.000576633,4.12E-05,1.60E-05,1.36E-05,0.000657754,0.000116183,0.001234814,0.000934663,0.017731336,0.000170938,0.000301597,1.07E-06,2.08E-06,0.015142824,0.000296055,0.000244492,0.000126805,0.000402348,0.00020138,0.005106583,0.008192914,0.959603236
'Z',0.003170531,0.075915378,0.949588613,0.295514677,0.050622168,0.999968519,0.173580591,0.05506022,0.146267483,0.75079411,0.752573248,0.000110365,0.000254629,7.94E-05,0.000810779,0.000388664,0.000284628,3.85E-05,1.72E-05,0.001769014,0.000222795,0.000309551,0.004189797,0.023746705,0.001142673,0.00020481,2.05E-05,0.000103278,0.009066146,0.008150009,0.000296628,0.000190303,0.009042141,0.000152421,0.00023895,0.009027899,0.952341032
'Z',0.001282481,0.337373213,0.982110007,0.38619989,0.073251197,0.936116847,8.77E-05,0.004033852,0.04417846,0.98540843,0.978116477,0.000187695,0.000153813,1.71E-05,0.000843926,0.000689304,2.81E-05,1.09E-05,2.10E-05,0.000342036,2.96E-05,0.000409115,0.00637945,0.017753602,0.000290766,0.000357884,8.68E-07,5.24E-06,0.012014416,0.000499906,0.000152565,0.000244401,0.001726601,0.000194737,0.001844146,0.013048245,0.975433935
Hidden Nodes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iterations,24972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epsilon,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letter Iterations,"[ 400.  585.  886.  498.  940.  910.  930.  385.  976.  915.  401.  534.
  487.  434.  979.  823.  529.  666.  462.  435.  482.  235.  308.  365.
  257.  366.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
